185. Matt Coronato, F, CGY
186. Ivan Barbashev, F, VGK
187. Kent Johnson, F, CBJ
188. Anders Lee, F, NYI (INJ.)
189. Will Cuylle, F, NYR
190. Brock Boeser, F, VAN
191. Connor McMichael, F, WSH
192. Owen Tippett, F, PHI
193. Patrik Laine, F, MTL
194. Jake DeBrusk, F, VAN
195. Andrei Kuzmenko, F, LAK
196. Trevor Zegras, F, PHI
197. John Gibson, G, DET
198. Matthew Schaefer, D, NYI (rookie)
199. Isaac Howard, F, EDM (rookie)
200. Matias Maccelli, F, TOR
